room_id,day,shift,global_shift,total_room_workload,max_skill_required
r0,0,early,0,3,2
r0,0,late,1,1,0
r0,0,night,2,1,0
r0,1,early,3,5,2
r0,1,late,4,4,2
r0,1,night,5,3,0
r0,2,early,6,5,1
r0,2,late,7,3,2
r0,2,night,8,4,0
r0,3,early,9,8,1
r0,3,late,10,7,2
r0,3,night,11,5,1
r0,4,early,12,6,1
r0,4,late,13,7,2
r0,4,night,14,3,1
r0,5,early,15,7,2
r0,5,late,16,9,2
r0,5,night,17,5,0
r0,6,early,18,2,1
r0,6,late,19,1,2
r0,6,night,20,2,0
r0,7,early,21,8,2
r0,7,late,22,8,2
r0,7,night,23,5,1
r0,8,early,24,7,2
r0,8,late,25,7,1
r0,8,night,26,6,1
r0,9,early,27,6,1
r0,9,late,28,8,2
r0,9,night,29,6,1
r0,10,early,30,5,2
r0,10,late,31,6,1
r0,10,night,32,3,0
r0,11,early,33,2,1
r0,11,late,34,1,2
r0,11,night,35,1,0
r0,12,early,36,2,0
r0,12,late,37,1,2
r0,12,night,38,2,0
r1,0,early,0,4,2
r1,0,late,1,5,1
r1,0,night,2,2,0
r1,1,early,3,5,1
r1,1,late,4,3,1
r1,1,night,5,2,1
r1,2,early,6,3,1
r1,2,late,7,3,2
r1,2,night,8,2,1
r1,3,early,9,5,2
r1,3,late,10,4,2
r1,3,night,11,2,1
r1,4,early,12,6,2
r1,4,late,13,3,1
r1,4,night,14,2,1
r1,5,early,15,4,1
r1,5,late,16,4,2
r1,5,night,17,2,0
r1,6,early,18,6,1
r1,6,late,19,3,2
r1,6,night,20,3,0
r1,7,early,21,5,0
r1,7,late,22,6,2
r1,7,night,23,3,0
r1,8,early,24,2,2
r1,8,late,25,4,2
r1,8,night,26,2,1
r1,9,early,27,3,1
r1,9,late,28,2,2
r1,9,night,29,1,0
r1,10,early,30,3,2
r1,10,late,31,1,1
r1,10,night,32,2,0
r1,11,early,33,3,0
r1,11,late,34,2,0
r1,11,night,35,2,0
r2,0,early,0,3,1
r2,0,late,1,2,1
r2,0,night,2,1,1
r2,1,early,3,9,2
r2,1,late,4,8,2
r2,1,night,5,5,0
r2,2,early,6,9,1
r2,2,late,7,9,2
r2,2,night,8,6,1
r2,3,early,9,10,2
r2,3,late,10,9,2
r2,3,night,11,7,1
r2,4,early,12,10,1
r2,4,late,13,11,0
r2,4,night,14,7,1
r2,5,early,15,10,2
r2,5,late,16,9,2
r2,5,night,17,6,1
r2,6,early,18,10,1
r2,6,late,19,8,2
r2,6,night,20,7,1
r2,7,early,21,8,2
r2,7,late,22,10,2
r2,7,night,23,6,0
r2,8,early,24,11,1
r2,8,late,25,12,2
r2,8,night,26,7,1
r2,9,early,27,9,2
r2,9,late,28,9,1
r2,9,night,29,7,1
r2,10,early,30,9,1
r2,10,late,31,9,2
r2,10,night,32,7,1
r2,11,early,33,2,0
r2,11,late,34,3,1
r2,11,night,35,1,1
r2,12,early,36,2,2
r2,12,late,37,1,1
r2,12,night,38,2,1
r3,0,early,0,2,0
r3,0,late,1,1,2
r3,0,night,2,1,1
r3,2,early,6,4,1
r3,2,late,7,4,1
r3,2,night,8,3,1
r3,3,early,9,7,1
r3,3,late,10,6,2
r3,3,night,11,3,0
r3,4,early,12,8,1
r3,4,late,13,6,2
r3,4,night,14,5,1
r3,5,early,15,8,1
r3,5,late,16,6,1
r3,5,night,17,5,1
r3,6,early,18,8,2
r3,6,late,19,7,1
r3,6,night,20,5,1
r3,7,early,21,6,1
r3,7,late,22,7,1
r3,7,night,23,4,1
r3,8,early,24,4,1
r3,8,late,25,4,2
r3,8,night,26,3,1
r3,9,early,27,2,1
r3,9,late,28,3,1
r3,9,night,29,1,1
r3,10,early,30,2,2
r3,10,late,31,2,0
r3,10,night,32,2,0
r3,11,early,33,3,0
r3,11,late,34,3,2
r3,11,night,35,1,0
r3,12,early,36,3,0
r3,12,late,37,1,2
r3,12,night,38,2,0
r3,13,early,39,3,2
r3,13,late,40,2,1
r3,13,night,41,2,0
r4,0,early,0,6,2
r4,0,late,1,7,1
r4,0,night,2,3,1
r4,1,early,3,8,1
r4,1,late,4,8,2
r4,1,night,5,3,1
r4,2,early,6,4,2
r4,2,late,7,4,1
r4,2,night,8,2,1
r4,3,early,9,9,2
r4,3,late,10,11,2
r4,3,night,11,5,1
r4,4,early,12,8,2
r4,4,late,13,9,1
r4,4,night,14,6,1
r4,5,early,15,7,2
r4,5,late,16,10,2
r4,5,night,17,6,1
r4,6,early,18,8,2
r4,6,late,19,8,2
r4,6,night,20,7,1
r4,7,early,21,9,2
r4,7,late,22,7,2
r4,7,night,23,6,1
r4,8,early,24,12,2
r4,8,late,25,7,1
r4,8,night,26,5,0
r4,9,early,27,2,2
r4,9,late,28,2,0
r4,9,night,29,2,1
r4,10,early,30,2,2
r4,10,late,31,3,0
r4,10,night,32,1,0
