nurse_id,skill_level,day,shift,global_shift,max_load
n000,0,0,early,0,10
n000,0,1,early,3,10
n000,0,2,late,7,10
n000,0,4,late,13,10
n000,0,5,night,17,10
n000,0,6,night,20,10
n000,0,7,night,23,10
n000,0,9,early,27,10
n000,0,10,night,32,10
n000,0,11,night,35,10
n000,0,12,night,38,10
n001,0,0,night,2,10
n001,0,1,night,5,10
n001,0,2,night,8,10
n001,0,3,night,11,10
n001,0,5,early,15,10
n001,0,6,early,18,10
n001,0,7,early,21,10
n001,0,8,late,25,10
n001,0,9,late,28,10
n001,0,11,early,33,10
n001,0,12,night,38,10
n001,0,13,night,41,10
n002,1,0,late,1,12
n002,1,1,late,4,12
n002,1,2,night,8,12
n002,1,4,early,12,12
n002,1,5,late,16,12
n002,1,6,late,19,12
n002,1,7,night,23,12
n002,1,8,night,26,12
n002,1,9,night,29,12
n002,1,11,early,33,12
n002,1,12,late,37,12
n003,1,0,night,2,12
n003,1,2,early,6,12
n003,1,3,late,10,12
n003,1,4,late,13,12
n003,1,5,late,16,12
n003,1,6,late,19,12
n003,1,7,late,22,12
n003,1,8,late,25,12
n003,1,9,night,29,12
n003,1,10,night,32,12
n003,1,12,early,36,12
n003,1,13,early,39,12
n004,2,0,late,1,5
n004,2,1,late,4,15
n004,2,2,night,8,15
n004,2,4,early,12,15
n004,2,5,early,15,15
n004,2,6,early,18,15
n004,2,7,night,23,15
n004,2,9,early,27,15
n004,2,10,early,30,15
n004,2,11,early,33,15
n004,2,12,late,37,15
n004,2,13,night,41,15
n005,1,0,late,1,12
n005,1,1,late,4,12
n005,1,2,late,7,12
n005,1,4,early,12,12
n005,1,5,late,16,12
n005,1,6,late,19,12
n005,1,7,night,23,12
n005,1,8,night,26,12
n005,1,9,night,29,12
n005,1,11,early,33,12
n005,1,12,early,36,12
n005,1,13,late,40,12
n006,2,0,late,1,15
n006,2,2,early,6,5
n006,2,3,early,9,5
n006,2,4,night,14,15
n006,2,5,night,17,15
n006,2,7,late,22,5
n006,2,8,late,25,15
